id,thread_title,comment
1,"Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente","Solange alle ihre Tiefkühlpizza und RTL haben ist doch alles super!"
2,"Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente","Ich bin schockiert."
3,"Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente","Würden sich die babyboomer zu Tode arbeiten, bräuchte man ihnen keine Rente mehr zahlen"
4,"Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente","Auf den Schreck erstmal eine Rentenerhöhung."
5,"Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente","Finde den Generationen-Vertrag an sich schon dämlich. Will meine eigenen Rente auffüllen und nicht die von anderen."
